category,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights
Cycling ,"Urban Terrain UT1000 MTB 27.5 T Mountain Cycle  (21 Gear, Black)",4.2,"12,999",49990,CultX,4.5,"This Urban Terrain mountain bike is made of steel to ensure sturdiness and durability. While its 21-speed gear shift helps you ride it on various terrains with ease, its 69.85 cm wide tires ensure a smooth and comfortable ride. Also, the double disc brakes ensure improved safety and reliability.",Age Group: 15+ Years Ideal For: Men/Women Gear: 21 Gear| Gear Type: Easy Fire Shifters/Thumb Shifters Front Brake: Disc Brake | Rear Brake: Disc Brake Frame Material: Steel Cycle/Mild steel Cycle Suspension: Only Front Suspension Tire Size: 27.5 inches | Frame Size:16 inch
Cycling ,"Urban Terrain Berlin with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City Bike  (Single Speed, Black, Blue)",4.2,"7,599",12000,CultX,4.5,"Urban Terrain UT7001S26 City Bicycle is the best in the class bike for the ultimate riding experience. It is made of high quality, very strong, and light steel to maximize durability, performance, and smooth ride. The wheel size of 26 inches with v-break makes it ideal for riding in all conditions in City. Premium V-Break in both front and rear wheels provide maximum safety. The cycle will be delivered in 85% assembled condition. You can easily assemble the cycle with the Tool kit and Air Pump provided in the Packaging. Ensure periodic maintenance for a better cycling experience. In case of returns, the customer needs to keep intact the original packaging to ensure delivery pickup.","Age Group: 13+ Years Ideal For: Boys/Men, Girls/Women Gear: Single Speed| Gear Type: Non Geared Front Brake: Wire Brake | Rear Brake: Wire Brake Frame Material: Steel Cycle/Mild steel Cycle Suspension: Rigid Tire Size: 26 inches | Frame Size:18 inch"
Cycling ,AutoKraftZ Most Popular Sun UV Protection Arm Sleeves for Men Women Cycling Gloves  (Black),3.9,77,599,Otter,4.6,"AutokraftZ presents to you Lets's slim compression arm sleeves which mainly design to maintain your arms temperature in summers. It is a cure for those riders who love to drive in summer also. It is a sun protection arm sleeves which protect your arm from tanning and sunburn. It has a gel inside which cools your hand even in the hot summer days. It also protects your arms from UV rays. It is made up of Nylon material which is breathable. It is flexible, adjustable and stretchable in nature, You can easily wear these arm sleeves on your hand and it will automatically adjust as per your arm shape. It is in black color which usually goes with every outfit. It is comfortable to wear for a long time. It is a thumb cut design so that you can easily operate your mobile phone while using it. You can use it as sports sleeves during your sports time. More likely use in Cricket, football, tennis. These arm sleeves are the perfect solution for riders in summer. You will love summers more even before.","Left & Right Gloves For Men, Boys, Girls, Women For Cycling Weight: 40 g Material: Nylon"
Cycling ,LA OTTER Gloves for gym and cycling Cycling Gloves  (Black),3.9,74,249,Otter,4.6,,"Left & Right Gloves For Boys, Girls, Men & Women For Cycling Weight: 40 g Material: Cotton, Nylon"
Cycling ,"vesco Kiddo 14"" Cycle for Kids Bicycles age 3 to 5 Year Boys & Girls 14 T BMX Cycle  (Single Speed, Blue)",4.2,"3,295",3600,VescoCycles,4.7,"The VESCO CYCLES Is Delivered In Semi-Assembled (85% Assembled). Customer Needs To Assemble It Before Use. This Kids Cycle Attractive Sporty Frame Design For Durability And Safety. Side Handle Bar Ends For Safety And Protecting The Cycle When It Falls Down, Wide And Anti Skid Pedals For Better And Firm Grip Of The Footwear. P.U Foam Saddle With Spring For Extra Comfort And Cushioning. The Bicycle Is Best Suited For Fast Daily Commutes And Faster Weekend Rides With A Sturdy And Robust Steel Frame Which Is Less Prone To Damage And Easy To Maintain In The Long Run. Anti-Skid Tires With Unique Grippers For Slippery Riding Conditions.",Age Group: 2 - 4 Years Ideal For: Kids Gear: Single Speed| Gear Type: Non Geared Front Brake: Wire Brake | Rear Brake: Wire Brake Frame Material: Steel Cycle/Mild steel Cycle Suspension: Rigid Tire Size: 14 inches | Frame Size:9 inch
Cycling ,"MODERN Arrow 26T Cycle 26 T Mountain/Hardtail Cycle  (Single Speed, Orange)",4.1,"5,599",10199,RKSONS1,4.7,,Age Group: 13+ Years Ideal For: Boys/Men Gear: Single Speed| Gear Type: Non Geared Front Brake: Wire Brake | Rear Brake: Wire Brake Frame Material: Steel Cycle/Mild steel Cycle Suspension: Front Rigid & Rear Suspension Tire Size: 26 inches | Frame Size:23.5 inch
Cycling ,"CRADIAC CITY BIKE 26 7 SPD BLACK 26 T Hybrid Cycle/City Bike  (7 Gear, Black)",4.3,"7,919",34999,BICYCLESTORE,5,,"Age Group: 13+ Years Ideal For: Men/Women, Boys/Men, Girls/Women Gear: 7 Gear| Gear Type: Easy Fire Shifters/Thumb Shifters Front Brake: Wire Brake | Rear Brake: Wire Brake Frame Material: Steel Cycle/Mild steel Cycle Suspension: Rigid Tire Size: 26 inches | Frame Size:18.5 inch"
Cycling ,"HERO Skyper 26T 26 T Mountain/Hardtail Cycle  (Single Speed, Black)",4.1,"5,499",6999,SRASRAretail,4.3,,Age Group: 13+ Years Ideal For: Men Gear: Single Speed| Gear Type: Non Geared Front Brake: Wire Brake | Rear Brake: Wire Brake Frame Material: Steel Cycle/Mild steel Cycle Suspension: Rigid Tire Size: 26 inches | Frame Size:16 inch
Cycling ,"GADGET DEALS Bicycle USB Rechargeable Waterproof Cycle Light, High 300 Lumens Bright Headlight LED Front Light  (Black)",4,249,999,TheGadgetDeals,4.8,,Type: Front Light Light Type: LED Color: Black
Football ,"RASCO GERMANY MACHINE STITCHED FOOTBALL WITH BLACK 28 CM PUMP SIZE 5 Football - Size: 5  (Pack of 2, Multicolor)",3.8,449,1299,SPORTS ONLINE INDIA,4.9,RASCO Germany football is machine stitched and its good for juniors . it with come to you with black color pump .,Football Weight: 400 g Suitable for: GRASS
Football ,PUMA TeamFinal Wave Ball Football - Size: 5  (Pack of 1),4.1,779,1299,BTPLD,4.4,,Football Outer Material: Synthetic Rubber Weight: 250 - 300 g
Football ,RASCO COMBO LALIG FOOTBALL WITH AIR PUMP Football - Size: 5  (Pack of 2),3.5,493,1499,RAJPOOT INTERNATIONAL,4.5,GOOD QUALITY FOOTBALL WITH 3 PLY PVC AND SIZE 5 BLADDER OF LEADER COMPANY,Football Weight: 460-495 g
Skating ,Strauss Baby Quad Roller Skates - Size For (4 to 6 Years)  (Red),3.8,649,1199,GlobalBeesBrands,4.4,These adjustable roller skates have an easy lace system that makes tightening and loosening the skates simple. The kids slip on the skates easily and provides a snug yet comfortable fit. These unisex roller skates are perfect for both boys and girls. Kids love the fun and vibrant colors of Strauss Kids Roller Skates.,"For: Quad Roller Ideal For: Boys, Girls Shoe Size: For (4 to 6 Years) Color: Red Beginner, Intermediate, Advanced, Training Skates"
Skating ,Dhawani Skating Shoe have different size and with PU LED wheel In-line Skates - Size 38 - 41 UK In-line Skates - Size 6-9 UK  (Blue),3.9,"1,519",3999,MGKENTERPRISE,4.3,"The in-line design allows for greater speed than roller skates and better maneuverability.Inlineskates are designed specifically for those individuals who seek to utilize their skates for getting in shape, or skating very frequently.Variances between recreational and inline skates exist in the bearings, wheel size, and overall weight. nline skates will typically have faster bearings and larger wheels to generate speed for lengthy skates. Inline skate boots will likely be more comfortable due to liner construction, as well as circulate air better via ventilation differences.Inline skates offer numerous advantages when it comes to exercise, most notably, it is not boring! Skating is a fast-paced, exciting activity that offers a lot more than your treadmill or yoga ball will. Furthermore, inline skating is a low impact activity that will generate little wear-and-tear on your joints and bones. Also, inline skating can burn as many calories as running. The list of benefits is long, but the bottom line is that inline skating is a great fitness activity. If you plan on using your skates to get in shape via long, fast skating adventures, then fitness skates are likely the best option for you","For: In-line Ideal For: Boys, Men, Junior, Senior Shoe Size: 6-9 UK Color: Blue Beginner, Intermediate, Training, Advanced, Recreational Skates"
Skating ,Jaspo Brillient Intact Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age 6 to 14 years Skating Kit,4,999,1699,jaspo,4.8,Jaspo Players Intact Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age 6 to 14 years,"Sport Type: Skating Ideal For: Senior Color: Black Width: 25 cm, Height: 10 cm, Depth: 40 cm"
Skating ,Bestie Toys Adjustable kids Suitable Quad Roller Skates - Size 6 years to 12 years UK  (Blue),4,599,999,BestieToys,4.8,These cute roller skates. These brightly coloured roller skates arescientifically designed for better grip and performance. These will last yourchild in his or her growing years as you can adjust the size of the skates asper the foot size.,"For: Quad Roller Ideal For: Boys, Girls Shoe Size: 6 years to 12 years UK Color: Blue Beginner Skates"
Skating ,Jaspo Brillient Pro Senior Skates Combo (skates+helmet+knee+elbow+wrist+bag)suitable for age 6 to 14 years Skating Kit,4.1,"1,099",1899,jaspo,4.8,"Adjustable,light weight , durable  superior senior roller skates with adjustable length from 20.5 to 24.5 cms. All black roller skates comes with accessiories like key, laces,straps, A complete set to get your started.","Sport Type: Skating Ideal For: Senior Color: Black Width: 2.5 cm, Height: 10 cm, Depth: 40 cm"
Skating ,"SeaRegal 4 Wheels Skate Boards 26.5 inch x 23.6 inch Skateboard  (Multicolor, Pack of 1)",4.1,689,999,TRADE_INDIA,4.2,,Waveboard Bearing: 4 Wheels Skate Boards W x H: 26.5 x 23.6 inch
Skating ,Authfort Roller Skates Shoes For Kids / Childrens - UNISEX Size 4-8 UK (Multicolor) Quad Roller Skates - Size 4-8 UK  (Multicolor),4,599,999,eFlick,4.1,"roller shoes is best for kids,junior,childrens.it is best way for juniors to learn how to skating. Skates comes with 4 wheels and toe brake. its has adjustable size .NOTE- make sure you should wear helment, knee pads when using roller shoe","For: Quad Roller Ideal For: Boys, Girls Shoe Size: 4-8 UK Color: Multicolor Training, Recreational, Intermediate, Beginner Skates"
Skating ,"Jaspo B- Safe Guards (Knee,Elbow,Helmet)(Small) Skating Kit",4.1,"1,186",1999,jaspo,4.8,"Ergonomic design, super lightweight, provides freedom of movement. High-density sponge shock absorption protection, effectively resist the impact force. Made of high quality material, comfortable and breathable. Large elastic force, comprehensively protect your knees while exercising. Great for fitness, outdoor sports or training exercises. Features of the B- Safe Set: impact Resistant: Each knee pad, and elbow pad feature soft, breathable neoprene materials for a comfortable fit and durable ABS hard caps to keep you safe and withstand impact. Multi-Sport Protection: name Knee pad, and elbow pad set are suitable for many sports like: skateboarding, roller/inline skating, cycling, scooter, and any other extreme sport or activity. Includes 1 pair of knee pads, elbow pads and helmet","Sport Type: Skating Ideal For: Boys, Girls, Senior, Men, Women Color: Red Width: 17.78 cm, Height: 17.78 cm, Depth: 20.32 cm"
Camping  and Hiking ,"COLEMAN Darwin 2 Person Tent Outdoor Camping Tent Tent - For 2 Adult & Suitable For All Seasons, Full Waterproof flysheet  (Green)",4.1,"6,299",6999,Great Rocksport P LTD,4.7,"A quick-pitch dome tent with ring and pin pole attachment for simple set-up. The front porch provides space for muddy boots and gear while the curved door allows for easy entry and exit. Quick-pitch dome structure with ring and pin pole attachment. Strong, durable PE groundsheet. Plenty of space for all campers and kit with front storage area.","Tarpaulin Sheet Suitable For 2 Adult & Suitable For All Seasons, Full Waterproof flysheet Color Green Dome Shape Water Resistant With Bag"
Camping  and Hiking ,"Coleman Palmetto Sleeping Bag, Temp -1.1C to 10C, 1.9 Kg  (Red)",4.2,"2,199",3199,DIIATBonline,4.7," 	Stay warm and cozy even when the temperature dips to below -1 degree Celsius in the Coleman Palmetto Cool Weather Sleeping Bag that has a polyester cover and soft tricot fibre blend liner for maximum comfort.  Features ComfortSmart Technology  	Coleman€™s exclusive ComfortSmart technology reduces zipper snags by taking the fabric away from the zip, easily locks the bag in place when rolling, reduces heat loss and has soft cuffs that feel gentle on your face.  Machine Washable  	Keeping this Palmetto Sleeping Bag clean is very simple as it can be machine washed.",180 X 80 Size Ideal For: Adults Color: Red 100% Polyester Material Inner Material:- Tricot Lining with Coletherm fill For 1 Person W x H x D: 83.8 cm x 190.5 cm x 10 cm
Camping  and Hiking ,ATARC 883-BK-L1 Pocket Knife  (Black),3.5,296,999,ATARC,4.3,Good quality  product.  It comes in various range & variety and hence fulfills the need of all.,Type: Pocket Knife Foldable Color: Black Blade Length: 3.1 inch
Camping  and Hiking ,AlexVyan Pocket Camping Folding Knife Stainless Steel Lock Knive Pocket Knife (Black). Knife  (Black),4.2,329,599,AlexVyan,4.2,"Pocket knife size all purpose knife for making classic cuts such as julienne, dice and fine chop of fruits and vegetables. Also good for delicate herbs to shredding head of cabbage.",Type: Knife Number of Tools: 1 Foldable Color: Black Blade Length: 2.5 inch
Camping  and Hiking ,"Rocksport Camplite 10°C to 20°C Sleep Bag For Camping and Traveling (Black/Sky Blue,1kg) Sleeping Bag",4,999,1799,Great Rocksport P LTD,4.7,"Rocksport sleeping bags can be used in outdoors during activities like trekking, hiking, camping or while travelling. They are designed for 10 to 20 Degrees Celsius. Moreover these sleeping bags are designed to keep you warm even in extreme conditions and prevent you from any dampness. Our sleeping bags are designed to ensure that after a tiring day of trekking, hiking, travel or any other exploration you can get a good and relaxing night€™s sleep. Each sleeping bag comes with a spacious carry bag,allowing for super convenient storage and easy carry maneuverability. The bags are not only ideal for cold conditions but even for warmer weather conditions.",Lagre Size Ideal For: Adults Color: Black/Sky Blue Nylon Material Inner Material:- Polyfill For 1 Person W x H x D: 76 cm x 200 cm x 76 cm
Swimming ,"Aarushi Unisex Silicon Swimming Cap and Swimming Goggle Swimming Cap  (Blue, Pack of 2)",3.7,297,1000,VijKanandCo,3,This makes it the ideal swim cap for men and women of all ages and competitive abilities. Comfort as it allows your head to breathe and move naturally. Its shaping capabilities also deliver superior protection while optimizing conditions for high speed and low drag in the water.,"Design: Full Head Cover Material: Silicon Size: Free Size Ideal For: Men, Women Waterproof Type:- https://drive.google.com/open?id=0B4mtzU2xQk8hd1NhTlNBblBzMzg"
Swimming ,APEX 5 Star Military Swim Floatation Belt,4.1,"1,099",1999,ASHARIF,4.6,"Whether you€™re boating, water skiing, surfing, you will have a blast in this Life Jacket. This Personal Device is designed with open sides, three adjustable chest belts with quick release buckles, and a crotch strap for a tight fit and better movement. It fits snug without being too tight and allows freedom in water. A durable polyester outer shell with high buoyancy foam inside produces greater buoyancy in water to keep you afloat. Product Features:- A Necessity for Water Sports, Boating, Water Skiing, Water Rides, Surfing, Jet Skiing, Participating in Rescue, Swimming Pool or Lake. Three Adjustable Straps with Quick Release Buckles and Open Sides for Better Fit. Whistle for Emergency Situations. Inner Pocket. Bright & Luminous Color for Better Visibility. Polyester Outer Shell with Enclosed Foam for Greater Buoyancy in Water. Crotch Straps Keeps the Life Jacket in Place and in Correct, Safe Position. 7Trees 3-Buckle Life Jacket with Whistle & Crotch Straps, For ADULTS Weighing 55 - 75 KG. Color- Neon Orange",
Swimming ,Futurekart Ear Plugs Soft Silica Gel Noise Ear Plug  (Multicolor),3.8,200,299,ARTBEE,4.7,"That easily compressed and inserted into the ear that perfectly fits your ears, these reusable ear plugs are comfortable even worn for an extended time Convenient And Reusable-Each pair of ear plugs is independent to store in a small box, waterproof rubber seal ensures their protetion from moistur, dust and debris. Adjustable Length-Our hearing protection ear plugs have long stems, you can cut their stems properly according to your needs, making it more suitable for your ears. Serve multi purpose: For Ear Protection, Travel noise reduction, Meditation, Sleeping, Study & Swimming These ear plugs can be used in flights for travelling to reduce the noise and air pressure in the flights.","Type: Ear Plug Ideal For: Men, Women Material: Silica Gel"
Swimming ,"Skylofts Soft Silicone Noise Reduction Ear Plugs for Sleeping, Meditation, Swimming adult and child, Reusable Earmuff for Travel Flights (Pack of 5) Ear Plug  (Multicolor)",3.7,199,599,Skylofts,4.1,"Comfortable And Safety Silicone Material-The swimming ear plugs are made of soft silicone and these travel ear plugs are BPA free and hypoallergenic. That easily compressed and inserted into the ear that perfectly fits your ears, these reusable ear plugs are comfortable even worn for an extended time.  Convenient And Reusable-Each pair of ear plugs is independent to store in a small box, waterproof rubber seal ensures their protetion from moistur, dust and debris. And you could also get a aluminum case, convenient carrying and saving at anywhere. And this ear plugs are reusable and washable.  Adjustable Length-Our hearing protection ear plugs have long stems, you can cut their stems properly according to your needs, making it more suitable for your ears. The super light soft design makes you even forget them in your ears.  Serve multi purpose: For Ear Protection, Travel noise reduction, Meditation, Sleeping, Study & Swimming  These ear plugs can be used in flights for travelling to reduce the noise and air pressure in the flights.","Type: Ear Plug Ideal For: Women, Men, Boys, Girls Reusable"
Swimming ,"Drauss Swimming Kit Anti Fog Swimming Goggle, 2 Ear Plugs, 100% Silicone Swimming Cap Swimming Cap  (Blue)",3.8,295,998,Web Mall,4.6,Good quality  product.  It comes in various range & variety and hence fulfills the need of all.,"Design: Full Head Cover, Ear Pockets Material: Silicon Size: Free Size Ideal For: Boys, Girls, Men, Women"
Swimming ,"ArrowMax Professional Swimming Cap full silicon ,Black By Krasa Swimming Cap  (Black, Pack of 1)",3.8,220,349,AVSRETAILS,4.9,,"Design: Full Head Cover Material: Silicon Size: Free Size Ideal For: Boys, Men, Girls, Women, Senior"
Swimming ,"Skylofts Soft Silicone Noise Reduction Ear Plugs for Sleeping, Meditation, Swimming adult and child, Reusable Earmuff for Travel Flights (Pack of 10) Ear Plug  (Multicolor)",4,299,799,Skylofts,4.1,"Comfortable And Safety Silicone Material-The swimming ear plugs are made of soft silicone and these travel ear plugs are BPA free and hypoallergenic. That easily compressed and inserted into the ear that perfectly fits your ears, these reusable ear plugs are comfortable even worn for an extended time.  Convenient And Reusable-Each pair of ear plugs is independent to store in a small box, waterproof rubber seal ensures their protetion from moistur, dust and debris. And you could also get a aluminum case, convenient carrying and saving at anywhere. And this ear plugs are reusable and washable.  Adjustable Length-Our hearing protection ear plugs have long stems, you can cut their stems properly according to your needs, making it more suitable for your ears. The super light soft design makes you even forget them in your ears.  Serve multi purpose: For Ear Protection, Travel noise reduction, Meditation, Sleeping, Study & Swimming  These ear plugs can be used in flights for travelling to reduce the noise and air pressure in the flights.","Type: Ear Plug Ideal For: Women, Men, Boys, Girls Reusable"
Cardio Equipment ,Hercules Fitness TM22 Treadmill,4.3,"29,129",62400,BTPLD,4.4,,Motorized Color: Black For Crab Walk Inclination Level 0 Maximum Weight Support 100 kg Display Type: LCD Foldable Speed: 1 - 12 kmh km/h
Cardio Equipment ,Adrenex by Flipkart Manual Treadmill for Exercise at Home Gym Running Machine for Cardio Weight Loss Treadmill,3.6,"9,499",21000,Reach2Fitness,4.4,"FEATURES: Foldable, Heart Rate Monitoring, Time, Speed, Distance, Calories WIDE RUNNING BELT:100x35cm will give you the spacious running space you need to
PULSE DETECTOR: Track your pulse with pulse sensors in the hand grips of this unique product","Manual Color: Black For Crab Walk, Incline Pushups Inclination Level 3 Foldable"
Cardio Equipment ,Durafit 3 in 1 Multifunction Manual With Twister And Push-up Bar Treadmill,4.5,"11,999",17999,FitnessSolutions,4.7,,"Manual Color: Silver For Treadmill Push, Side Shuffles Inclination Level 2 Maximum Weight Support 100 kg Display Type: LCD Foldable"
Cardio Equipment ,Durafit Mustang ( 6 HP Peak) DC Motorized Treadmill with Free Installation Assistance Treadmill,4.1,"41,999",68999,FitnessSolutions,4.7,,"Motorized Color: Black For Treadmill Push, Walking Lunges, Walking Plank Inclination Level 0 Maximum Weight Support 130 kg Display Type: LCD Foldable Speed: 1-16 km/h"
Cardio Equipment ,Powermax Fitness Power max Fitness TDM-100S 1.5Hp Motorized Treadmill,4.1,"31,491",54320,POWERMAX FITNESS,4.6,"The Powermax Fitness TDM-100S With Jumping wheels and Semi-Auto Lubrication Treadmill is a well-rounded treadmill to fit a variety of runners from athlete to average exerciser. The TDM-100S is actually small enough to fold up and store in the corner of a room with a size less than one square meter without having to disassemble. This Treadmill Features 5.5"" LCD display that shows Time, Distance, Calories, Speed, Pulse, and Incline , to provide a better watching experience and on the operating panel, it also has an iPad holder and water bottle and accessories, holder.",Motorized Color: Black For Treadmill Push Inclination Level 3 Maximum Weight Support 110 kg Display Type: LCD Speed: 12 km/h
Cardio Equipment ,"HRX Runner Pro Treadmill with Massager , Auto Incline , 3 Hp Peak DC motor Treadmill",3.8,"36,469",84999,RetailNet,4.8,"The HRX Runner Pro with Massager and Auto Incline is the perfect solution to your fitness goals as it comes with high performance and great looks. It is equipped with a peak power of 3.0 HP which enables a smooth workout. It comes with massager to improve your experience further. The treadmill has a width of 74 cm which delivers a safe workout. It can be easily folded as well when not in use. It comes with 7 inch LCD monitor to display all the necessary parameters you wish to track. It comes with 0-15 inclination levels which gives you the option to have more challenging workout sessions. It also has additional features like Personalized training programs, integrated weighing machine, heartrate monitor, music player and Bluetooth app connectivity to further enhance your workout session experience. 
At HRX, we believe that fitness can change who we are and what we do in all parts of our life. Our mission is to touch the lives of a billion people and inspire each of you to Be the best version of yourself. Our new range has been crafted to suit the demands of fitness enthusiasts like you and help you. With inputs from professional trainers and experts, every HRX product undergoes rigorous quality checks to ensure that fitness enthusiasts like you get nothing but the best.",Motorized Color: Black Inclination Level 15
Cardio Equipment ,Powermax Fitness TDA-360 10.1inch HD Display Multifunction Treadmill with Auto Incline Treadmill,4.4,"59,841",122550,OptimVRcommerce,4.4,,Motorized Color: Black For Treadmill Push Inclination Level 15
Cardio Equipment ,Fitness air bike,4.6,"39,999",79998,TheFlexnest,4.6,"The Smartest Treadmill on the block World-class cardio that fuels your runner's high. The Flextread provides the coaching, motivation, and variety you crave to keep you immersed in your fitness journey.",Motorized Color: Black For Crab Walk Inclination Level 0 Maximum Weight Support 120 kg Speed: 1-15 km/h
Home Gyms ,Pascal 20 KG WB - SL HOME GYM KIT WITH 3FT CURL ROD AND 3 FT STRAIGHT ROD AND ACCESSORIES Gym & Fitness Kit,3.9,"1,699",1999,HUBB.COM,4.7,"20 Kg of PVC weight (3Kg x 4 = 12 Kg + 2 kg x 4 = 8 kg ),1 x 3 feet Curl Rod + 1 X 3 feet straight rod + 2 x 14 dumbbell Rods + 1 PC skipping rope + 1 PC hand gripper + 100% pure leather gym gloves + 4 Locks and clippers comes with the rods ,A Combination Of All Gym Equipments For The Perfect Workout,It Is Highly Durable And Long Lasting,A Perfect Muscle Builder","Sport Type: Gym & Fitness Ideal For: Boys, Girls, Men Color: Multicolor Width: 48 cm, Height: 78 cm, Depth: 32 cm"
