category,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights
Home Gyms ,APTITUDE 30 Kg PVC Home Gym set with Curl Rod & Accessories Gym & Fitness Kit,4.6,"1,649",1999,APTITUDE   SPORTS,4.6,,"Sport Type: Gym & Fitness Ideal For: Boys, Girls Color: Black Width: 48 cm, Height: 78 cm, Depth: 32 cm"
Home Gyms ,Khargadham Multifunctioneel High Quality Home Gym Push Up Training Board Muscle Fitness Fitness Accessory Kit Kit,4.1,299,799,TrendbuyIndia,4.8,"Khargadham Bring For You Non-slip Hand Grips, Portable, Simple Assembly and Storage. Premium ABS tough plastic, which is very tough and not easily broken or damaged. Hand Grips are anti-slip.Portable, simple assembly and storage. It is convenient for training use.Push Up Rack Board Men Women Comprehensive Fitness Exercise Push-up Stands Body Building Training System Home Equipment. Consuming calories and enhancing strength with this innovative push-up system. Advanced and non-slip, oversized handle with ergonomic design, durable to use, easy to assemble, easy to carry. It is easy to use, just insert the handle to the desired color-coded position.","Sport Type: Fitness Accessory Kit Ideal For: Women, Men, Girls, Boys, Senior, Junior Color: Black Width: 11 cm, Height: 4 cm, Depth: 4 cm"
Home Gyms ,Manogyam Fitness Combo Of Toning Tube with Hand Grip for Body Workout Gym & Fitness Kit,4.1,290,699,Manogyam,4.8,"MANOGYAM brings For you a handy yet amazing Fitness Equipment called the ""DOUBLE TONING TUBE And HAND GRIPPER"" which can be used at the ease of your HOME, OFFICE & OUTDOORS.In contemporary world's busy schedule, odd eating hours, lots of fast food and heavy calories intake not only endangers your fitness but overall health. If you are not a health conscious person, then, the things mentioned above can cause serious health problems in the long run and destroy your fitness as well. Hence, We bring you the solution to all your problems. This TONING TUBE enables you to PERFORM GREAT WORKOUTS for which you used to go to the gym. Now, you can sweat and burn calories even at home.This equipment not only targets the tummy but shapes your SHOULDERS, ARMS, THIGHS AND BURN ABDOMINAL FAT. Use Our Double Toning Tube every day (morning recommended)1/2 hour to 45 minutes and to start noticing BETTER FITNESS LEVEL.","Sport Type: Gym & Fitness Ideal For: Women, Men, Girls, Boys, Junior, Senior Color: Multicolor Width: 14 cm, Height: 4 cm, Depth: 8 cm"
Home Gyms ,"DreamFit 30 kg Home gym with 3ft Staight , 3ft Curl Rod , pair of 2 kg pvc Hex Dumbbells Home Gym Kit",4,"1,899",8999,DreamFIT,4.8,"30 Kg of PVC weight (2.5 Kg x 4 = 10 Kg + 5 Kg x 4 = 20Kg ), 1 x 3 feet plain rod + 1 x 3 feet curl rod + 2 x 14 inch dumbbell Rods, 4 Locks and clippers comes with the rods, gym gloves + 1 gym backpack + 1 skipping rope + 1 hand gripper + pair of 2 kg pvc hex shaped dumbbells","Sport Type: Home Gym Ideal For: Men, Men, Women Color: Black Width: 90 cm, Height: 25 cm, Depth: 20 cm"
Home Gyms ,ADONYX Toning Tube With Door Anchor for All Type Resistance Bands Ideal for Men & Women Gym & Fitness Kit,4.1,199,999,ADONYX,4.8,"bands are perfect exercise bands for Insanity Asylum, CrossFit, P90X, Yoga, Pilates and Running.  exercise bands are the best flexibility bands for everyone to perform better, whether you are an elite athlete or are just trying to get back into shape or tone up. The neoprene lining on the door anchor increases the durability of the resistance band.
Anti-Snap €“ Our premium workout bands are made of the highest quality, using 100% Natural Latex from Malaysia with high elasticity and extra thick high-grade silicon that will not dry out, snap, or deform. Developed with you in mind, each tube is double layered and carefully constructed to provide maximum resistance! Our team at  has 10+ years of experience manufacturing latex products and we fully stand behind the quality of our products!
Adjustable Length & Comfortable €“ The length of the band is adjustable so it can be used for different workouts according to your requirement, comfortable non-slip handles for continued comfort during workouts. This translates into easier Resistance Band Training for both Men and Women alike","Sport Type: Gym & Fitness Ideal For: Boys, Girls, Men, Women Color: Multicolor Width: 10 cm, Height: 4 cm, Depth: 10 cm"
Home Gyms ,SX FITNESS PVC Home Gym Set (2.5Kg*4) Plate with Dumbbell Rod Gym & Fitness Kit,4,499,3999,SPORTSXPERT,4.9,"Anti-slip Handle: Its non-slip texture dumbbell handle gives you a comfortable feeling during the whole process of your exercise.
Steel: Solid steel core for reliable strength; will not bend or break after repeated use
Strength training: This unique combination suits the light to moderate user, both females & males.
Convenient: Its design will make your exercise routine simple. Each weight is specially designed, with easy handle grips to make moving, loading, and storage smooth.
Increase balance: Dumbbells can be used to perform muscle strengthening exercises and endurance training, and to increase flexibility and balance.","Sport Type: Gym & Fitness Ideal For: Boys, Girls, Junior, Men, Senior, Women Color: Black, Red Width: 15 cm, Height: 15 cm, Depth: 10 cm"
Support ,SportSoul Cotton Gym & Athletic Abdomen Support  (Black),4,249,349,SportSoul,4.6,"Ideal for waist 32-33.5 inches. If your waist is either 32 or 33 you should opt for this size, else go in for a different size. Made from high quality cotton fabric with 3 inch high quality elastic waist band. Elastic is covered with fabric to prevent red marks on skin. Covered back. Pocket in front for keeping abdominal guard while playing sports. Can be used in the gym while lifting weights.",Color: Black Type: Abdomen Support Exercise Type: Gym & Cricket Sport Type: Fitness
Support ,"VICTORY Professional Wrist Wrap Band , Wrist Strap For Gym and Fitness Wrist Support",4.3,105,399,VictoryOutlets,4.7,"VICTORY Adjustable Wrist Wrap- Pack of 2 provides optimum support, protection and stability to the knees during heavy weightlifting sessions. It can also be used during other activities like Powerlifting, Deadlifting, Crossfit, Volleyball, Basketball etc. Super thick closure for snug grip. Soft, Flexible and Washable. Reduce pressure and pain on the Wrist that are stressed under heavy weights. Can be used by both men and women.","Color: Red, Black Type: Wrist Support Exercise Type: Weight Lifting, General Fitness, Any Sports Activity Sport Type: Fitness, Boxing, Tennis"
Support ,Manogyam Soft Comfortable Heel silicone Gel Set 2 Pieces Shoe Heel Protector Pain Relieve Heel Support  (Beige),3.8,59,299,Manogyam,4.8,"SOFT & COMFORTABLE GEL MATERIAL -Made of Durable,High Quality SEBS Gel for superior cushioning. UNISEX, Anti-Odor, Non-Toxic.
INSTANT HEEL PAIN RELIEF - Best for Heel Pain Treatment, Cracked Heel Protectors, Relieve the Heel spurs and Tingling, sore feet, plantar fasciitis, treat stress fractures, sprained foot when walking or running
UNIQUE CELLULAR DESIGN - ONE SIZE FITS ALL SHOES - No need to worry about your shoe size. Reduce the soreness, swelling and discomfort caused by running, jogging or standing all day, providing comfort and daily mobility back.
All Day Comfort - They provide foot protection, reduces friction and shock absorption. Effective wear inserts comfortably with dress shoes, high heels, work boots, ballet shoes.","Color: Beige Type: Heel Support Exercise Type: Shopping, Walking, Exercising Sport Type: Running, Fitness, Hiking, Tennis, Skating, Boxing, Snowboarding"
Support ,"VICTORY Professional Wrist Wrap Band , Wrist Strap For Gym and Fitness Wrist Support",4.3,105,399,VictoryOutlets,4.7,"VICTORY Adjustable Wrist Wrap- Pack of 2 provides optimum support, protection and stability to the knees during heavy weightlifting sessions. It can also be used during other activities like Powerlifting, Deadlifting, Crossfit, Volleyball, Basketball etc. Super thick closure for snug grip. Soft, Flexible and Washable. Reduce pressure and pain on the Wrist that are stressed under heavy weights. Can be used by both men and women.","Color: Grey, Black Type: Wrist Support Exercise Type: Weight Lifting, General Fitness, Any Sports Activity Sport Type: Fitness, Boxing, Tennis"
Support ,VICTORY Adustable Ankle Brace Support Compression Foot Pain Relief ( Pack of 1 ) Ankle Support,4,105,299,VictoryOutlets,4.7,"It is perfectly designed to support weak and injured ankle. It is widely used in sports where athlete or individual are more prone to ankle injuries and where injury impact is intense .It is highly useful in compressing muscle ligaments, swelling, stiffness, sprains and ankle instability.",Color: Black Type: Ankle Support
